timestamp,float_id,pressure,temperature,salinity,latitude,longitude
2024-07-01,2900274,9.9,28.629,34.404,4.318,86.715
2024-07-02,2900274,19.7,28.632,34.41,4.318,86.715
2024-07-03,2900274,30.1,28.631,34.41,4.318,86.715
2024-07-04,2900274,40.1,28.63,34.411,4.318,86.715
2024-07-05,2900274,50.1,28.525,34.421,4.318,86.715
2024-07-06,2900274,59.7,27.574,34.602,4.318,86.715
2024-07-07,2900274,69.9,24.77,34.726,4.318,86.715
2024-07-08,2900274,80.1,22.391,34.981,4.318,86.715
2024-07-09,2900274,89.8,20.864,34.807,4.318,86.715
2024-07-10,2900274,100.0,18.76,34.846,4.318,86.715
2024-07-11,2900274,110.1,18.428,34.856,4.318,86.715
2024-07-12,2900274,119.9,17.197,34.919,4.318,86.715
2024-07-13,2900274,130.3,15.268,34.946,4.318,86.715
2024-07-14,2900274,140.1,15.133,35.066,4.318,86.715
2024-07-15,2900274,149.9,14.388,35.05,4.318,86.715
2024-07-16,2900274,160.1,13.953,35.112,4.318,86.715
2024-07-17,2900274,170.0,13.92,35.128,4.318,86.715
2024-07-18,2900274,180.4,13.613,35.129,4.318,86.715
2024-07-19,2900274,190.4,13.38,35.119,4.318,86.715
2024-07-20,2900274,200.5,12.952,35.099,4.318,86.715
2024-07-21,2900274,210.4,12.605,35.097,4.318,86.715
2024-07-22,2900274,219.8,12.421,35.098,4.318,86.715
2024-07-23,2900274,229.8,12.127,35.092,4.318,86.715
2024-07-24,2900274,240.0,11.988,35.094,4.318,86.715
2024-07-25,2900274,250.2,11.868,35.088,4.318,86.715
2024-07-26,2900274,260.3,11.774,35.085,4.318,86.715
2024-07-27,2900274,270.2,11.689,35.083,4.318,86.715
2024-07-28,2900274,279.8,11.606,35.08,4.318,86.715
2024-07-29,2900274,290.4,11.487,35.077,4.318,86.715
2024-07-30,2900274,299.6,11.403,35.073,4.318,86.715
2024-07-31,2900274,310.2,11.306,35.068,4.318,86.715
2024-08-01,2900274,319.6,11.27,35.067,4.318,86.715
2024-08-02,2900274,330.1,11.207,35.067,4.318,86.715
2024-08-03,2900274,340.0,11.072,35.067,4.318,86.715
2024-08-04,2900274,350.0,11.004,35.073,4.318,86.715
2024-08-05,2900274,360.2,10.913,35.072,4.318,86.715
2024-08-06,2900274,380.4,10.671,35.056,4.318,86.715
2024-08-07,2900274,399.7,10.506,35.057,4.318,86.715
2024-08-08,2900274,449.3,10.152,35.043,4.318,86.715
2024-08-09,2900274,499.7,9.784,35.045,4.318,86.715
2024-08-10,2900274,550.2,9.56,35.047,4.318,86.715
2024-08-11,2900274,600.6,9.091,35.032,4.318,86.715
2024-08-12,2900274,650.1,8.68,35.017,4.318,86.715
2024-08-13,2900274,700.1,8.426,35.012,4.318,86.715
2024-08-14,2900274,750.3,8.138,35.016,4.318,86.715
2024-08-15,2900274,800.4,7.774,35.005,4.318,86.715
2024-08-16,2900274,849.9,7.528,34.997,4.318,86.715
2024-08-17,2900274,900.1,7.311,34.988,4.318,86.715
2024-08-18,2900274,949.7,7.043,34.97,4.318,86.715
2024-08-20,2900274,980.4,6.852,34.961,4.318,86.715
