timestamp,float_id,pressure,temperature,salinity,latitude,longitude
2024-07-01,1902674,0.0,28.126,34.888947,-9.55,76.15
2024-07-02,1902674,0.9,28.154,34.87093,-9.55,76.15
2024-07-03,1902674,2.2,28.159,34.86793,-9.55,76.15
2024-07-04,1902674,3.1,28.159,34.866932,-9.55,76.15
2024-07-05,1902674,4.1,28.156,34.869946,-9.55,76.15
2024-07-06,1902674,5.1,28.156,34.86893,-9.55,76.15
2024-07-07,1902674,6.0,28.152,34.87093,-9.55,76.15
2024-07-08,1902674,6.9,28.153,34.870937,-9.55,76.15
2024-07-09,1902674,7.8,28.149,34.869938,-9.55,76.15
2024-07-10,1902674,8.6,28.153,34.867928,-9.55,76.15
2024-07-11,1902674,9.6,28.144,34.862934,-9.55,76.15
2024-07-12,1902674,15.4,28.083,34.84793,-9.55,76.15
2024-07-13,1902674,25.4,28.004,34.83994,-9.55,76.15
2024-07-14,1902674,35.8,28.049,34.867935,-9.55,76.15
2024-07-15,1902674,45.3,26.867,34.80993,-9.55,76.15
2024-07-16,1902674,55.9,22.541,34.68893,-9.55,76.15
2024-07-17,1902674,65.5,21.6,35.052933,-9.55,76.15
2024-07-18,1902674,75.7,19.867,34.861927,-9.55,76.15
2024-07-19,1902674,85.1,18.524,34.81892,-9.55,76.15
2024-07-20,1902674,95.0,18.468,35.082935,-9.55,76.15
2024-07-21,1902674,105.2,17.694,35.102943,-9.55,76.15
2024-07-22,1902674,115.8,15.859,34.876926,-9.55,76.15
2024-07-23,1902674,125.5,15.067,34.82892,-9.55,76.15
2024-07-24,1902674,135.2,14.442,34.79992,-9.55,76.15
2024-07-25,1902674,145.0,13.959,34.83392,-9.55,76.15
2024-07-26,1902674,155.4,13.597,34.867924,-9.55,76.15
2024-07-27,1902674,165.6,13.345,34.883904,-9.55,76.15
2024-07-28,1902674,175.5,13.1,34.915916,-9.55,76.15
2024-07-29,1902674,185.4,12.818,34.910927,-9.55,76.15
2024-07-30,1902674,195.3,12.552,34.89191,-9.55,76.15
2024-07-31,1902674,212.5,12.105,34.887924,-9.55,76.15
2024-08-01,1902674,238.7,11.781,34.911915,-9.55,76.15
2024-08-02,1902674,263.0,11.46,34.905914,-9.55,76.15
2024-08-03,1902674,287.8,11.149,34.916924,-9.55,76.15
2024-08-04,1902674,312.5,10.905,34.92192,-9.55,76.15
2024-08-05,1902674,337.8,10.675,34.912918,-9.55,76.15
2024-08-06,1902674,363.3,10.507,34.901913,-9.55,76.15
2024-08-07,1902674,388.3,10.246,34.882923,-9.55,76.15
2024-08-08,1902674,413.0,9.919,34.864906,-9.55,76.15
2024-08-09,1902674,437.8,9.667,34.849907,-9.55,76.15
2024-08-10,1902674,462.9,9.485,34.842915,-9.55,76.15
2024-08-11,1902674,487.6,9.331,34.843906,-9.55,76.15
2024-08-12,1902674,512.5,9.168,34.843903,-9.55,76.15
2024-08-13,1902674,537.6,8.947,34.83292,-9.55,76.15
2024-08-14,1902674,563.6,8.77,34.834915,-9.55,76.15
2024-08-15,1902674,587.7,8.608,34.836906,-9.55,76.15
2024-08-16,1902674,612.5,8.437,34.82692,-9.55,76.15
2024-08-17,1902674,637.5,8.352,34.83091,-9.55,76.15
2024-08-18,1902674,662.9,8.209,34.831917,-9.55,76.15
2024-08-20,1902674,688.2,8.072,34.82991,-9.55,76.15
