timestamp,float_id,pressure,temperature,salinity,latitude,longitude
2024-07-01,2900271,8.7,28.794,33.695366,9.36,88.097
2024-07-02,2900271,18.900002,28.79,33.697365,9.36,88.097
2024-07-03,2900271,28.900002,28.79,33.700367,9.36,88.097
2024-07-04,2900271,39.2,28.792,33.699368,9.36,88.097
2024-07-05,2900271,49.3,28.797,33.706367,9.36,88.097
2024-07-06,2900271,58.8,28.802,33.716366,9.36,88.097
2024-07-07,2900271,68.899994,28.823,34.034367,9.36,88.097
2024-07-08,2900271,78.7,28.857,34.260445,9.36,88.097
2024-07-09,2900271,89.0,27.335,34.386436,9.36,88.097
2024-07-10,2900271,98.899994,24.232,34.23449,9.36,88.097
2024-07-11,2900271,108.6,22.95,34.533455,9.36,88.097
2024-07-12,2900271,118.7,21.49,34.59746,9.36,88.097
2024-07-13,2900271,128.59999,20.437,34.619473,9.36,88.097
2024-07-14,2900271,139.09999,19.474,34.615482,9.36,88.097
2024-07-15,2900271,148.4,19.03,34.649483,9.36,88.097
2024-07-16,2900271,158.09999,18.48,34.682487,9.36,88.097
2024-07-17,2900271,168.7,17.792,34.79849,9.36,88.097
2024-07-18,2900271,178.4,16.568,34.837505,9.36,88.097
2024-07-19,2900271,188.5,15.725,34.92551,9.36,88.097
2024-07-20,2900271,198.4,15.064,34.949524,9.36,88.097
2024-07-21,2900271,209.09999,14.59,34.966526,9.36,88.097
2024-07-22,2900271,219.7,13.899,34.98554,9.36,88.097
2024-07-23,2900271,228.5,13.37,35.00054,9.36,88.097
2024-07-24,2900271,239.09999,13.072,34.999546,9.36,88.097
2024-07-25,2900271,249.0,12.774,35.021553,9.36,88.097
2024-07-26,2900271,258.5,12.506,35.019558,9.36,88.097
2024-07-27,2900271,268.40002,12.288,35.027557,9.36,88.097
2024-07-28,2900271,278.7,11.953,35.037563,9.36,88.097
2024-07-29,2900271,288.5,11.787,35.036564,9.36,88.097
2024-07-30,2900271,298.6,11.627,35.03957,9.36,88.097
2024-07-31,2900271,308.90002,11.464,35.04257,9.36,88.097
2024-08-01,2900271,319.1,11.324,35.04457,9.36,88.097
2024-08-02,2900271,328.90002,11.191,35.042572,9.36,88.097
2024-08-03,2900271,338.40002,11.136,35.042572,9.36,88.097
2024-08-04,2900271,348.6,10.991,35.045574,9.36,88.097
2024-08-05,2900271,359.0,10.909,35.049576,9.36,88.097
2024-08-06,2900271,378.5,10.716,35.05158,9.36,88.097
2024-08-07,2900271,398.2,10.477,35.04358,9.36,88.097
2024-08-08,2900271,448.6,10.12,35.03858,9.36,88.097
2024-08-09,2900271,499.0,9.78,35.036587,9.36,88.097
2024-08-10,2900271,549.10004,9.308,35.02459,9.36,88.097
2024-08-11,2900271,598.2,8.922,35.012596,9.36,88.097
2024-08-12,2900271,648.9,8.563,35.0056,9.36,88.097
2024-08-13,2900271,698.9,8.179,34.990604,9.36,88.097
2024-08-14,2900271,748.5,7.834,34.980606,9.36,88.097
2024-08-15,2900271,798.8,7.515,34.96861,9.36,88.097
2024-08-16,2900271,849.2,7.278,34.962612,9.36,88.097
2024-08-17,2900271,897.9,7.05,34.959614,9.36,88.097
2024-08-18,2900271,949.10004,6.737,34.946613,9.36,88.097
2024-08-20,2900271,974.7,6.627,34.94262,9.36,88.097
