timestamp,float_id,pressure,temperature,salinity,latitude,longitude
2024-07-01,2900272,3.9,28.817,33.836,7.602,87.522
2024-07-02,2900272,10.0,28.809,33.843,7.602,87.522
2024-07-03,2900272,20.4,28.814,,7.602,87.522
2024-07-04,2900272,30.2,28.814,33.843,7.602,87.522
2024-07-05,2900272,39.8,28.82,33.85,7.602,87.522
2024-07-06,2900272,49.8,28.726,34.255,7.602,87.522
2024-07-07,2900272,59.9,28.519,34.252,7.602,87.522
2024-07-08,2900272,69.8,26.443,34.277,7.602,87.522
2024-07-09,2900272,80.4,25.457,34.814,7.602,87.522
2024-07-10,2900272,89.8,25.297,35.269,7.602,87.522
2024-07-11,2900272,100.1,23.56,35.182,7.602,87.522
2024-07-12,2900272,110.1,21.267,34.875,7.602,87.522
2024-07-13,2900272,120.4,20.031,34.856,7.602,87.522
2024-07-14,2900272,130.6,19.425,34.875,7.602,87.522
2024-07-15,2900272,139.7,18.236,34.899,7.602,87.522
2024-07-16,2900272,149.8,17.692,34.817,7.602,87.522
2024-07-17,2900272,160.2,16.706,34.871,7.602,87.522
2024-07-18,2900272,169.9,15.863,34.897,7.602,87.522
2024-07-19,2900272,180.4,15.1,34.938,7.602,87.522
2024-07-20,2900272,189.6,14.538,34.957,7.602,87.522
2024-07-21,2900272,200.1,14.01,34.957,7.602,87.522
2024-07-22,2900272,209.7,13.483,34.961,7.602,87.522
2024-07-23,2900272,219.7,13.225,34.965,7.602,87.522
2024-07-24,2900272,230.5,13.028,34.992,7.602,87.522
2024-07-25,2900272,240.1,12.884,35.019,7.602,87.522
2024-07-26,2900272,250.0,12.671,35.039,7.602,87.522
2024-07-27,2900272,260.6,12.432,35.042,7.602,87.522
2024-07-28,2900272,269.8,12.302,35.041,7.602,87.522
2024-07-29,2900272,280.0,12.058,35.045,7.602,87.522
2024-07-30,2900272,289.4,11.851,35.044,7.602,87.522
2024-07-31,2900272,299.5,11.65,35.044,7.602,87.522
2024-08-01,2900272,309.8,11.447,35.044,7.602,87.522
2024-08-02,2900272,320.3,11.246,35.043,7.602,87.522
2024-08-03,2900272,329.9,11.128,35.042,7.602,87.522
2024-08-04,2900272,339.7,10.997,35.042,7.602,87.522
2024-08-05,2900272,350.4,10.923,35.044,7.602,87.522
2024-08-06,2900272,359.6,10.867,35.046,7.602,87.522
2024-08-07,2900272,379.7,10.763,35.05,7.602,87.522
2024-08-08,2900272,399.3,10.638,35.048,7.602,87.522
2024-08-09,2900272,450.0,10.228,35.042,7.602,87.522
2024-08-10,2900272,500.0,9.782,35.033,7.602,87.522
2024-08-11,2900272,550.1,9.284,35.019,7.602,87.522
2024-08-12,2900272,600.3,8.975,35.012,7.602,87.522
2024-08-13,2900272,650.4,8.57,34.999,7.602,87.522
2024-08-14,2900272,700.3,8.276,34.988,7.602,87.522
2024-08-15,2900272,750.4,7.996,34.981,7.602,87.522
2024-08-16,2900272,799.9,7.699,34.971,7.602,87.522
2024-08-17,2900272,849.9,7.388,34.959,7.602,87.522
2024-08-18,2900272,899.7,7.028,34.947,7.602,87.522
2024-08-20,2900272,950.1,6.736,34.935,7.602,87.522
